Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Demanda de inconstitucionalidad,D,375,Antonio Barrera Carbonell,Sala Plena,C,C-062/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,376,Alejandro Martínez Caballero,Sala Plena,C,C-063/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22898,Hernando Herrera Vergara,Salas de Revisión,T,T-064/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23869,Hernando Herrera Vergara,Salas de Revisión,T,T-065/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24154,Hernando Herrera Vergara,Salas de Revisión,T,T-066/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21778,Carlos Gaviria Díaz,Salas de Revisión,T,T-066A/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24508,José Gregorio Hernández Galindo,Salas de Revisión,T,T-067/94,02/22/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,30085,José Gregorio Hernández Galindo,Salas de Revisión,T,T-068/94,02/22/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,388,Vladimiro Naranjo Mesa,Sala Plena,C,C-069/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,348,Hernando Herrera Vergara,Sala Plena,C,C-070/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,380,Alejandro Martínez Caballero,Sala Plena,C,C-071/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,383,Vladimiro Naranjo Mesa,Sala Plena,C,C-072/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22530,Fabio Morón Díaz,Salas de Revisión,T,T-073/94,02/23/1994 12:00:00 AM,s.d.,s.d.
